('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802467 function calls (780315 primitive calls) in 1.561 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      156    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      156    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    156/3    0.001    0.000    0.353    0.118 <frozen importlib._bootstrap_external>:877(exec_module)
      156    0.002    0.000    0.102    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      156    0.001    0.000    0.079    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      150    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      148    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      147    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      146    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      142    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      129    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
