('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802477 function calls (780325 primitive calls) in 1.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 ssl_.py:219(create_urllib3_context)
      503    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      192    0.000    0.000    0.001    0.000 element.py:292(<listcomp>)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.058    0.058 css_parser.py:1(<module>)
        2    0.000    0.000    0.013    0.006 connection.py:1(<module>)
      421    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      150    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       51    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        6    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        2    0.000    0.000    0.026    0.013 client.py:224(parse_headers)
        3    0.000    0.000    0.000    0.000 __init__.py:108(import_module)
       97    0.000    0.000    0.000    0.000 element.py:2422(__init__)
        1    0.000    0.000    0.027    0.027 ssl.py:1014(_create)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       16    0.000    0.000    0.000    0.000 message.py:462(get)
      482    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      329    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        2    0.000    0.000    0.025    0.012 client.py:206(_read_headers)
       19    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
      313    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
       53    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        6    0.000    0.000    0.000    0.000 client.py:1239(putheader)
        1    0.000    0.000    0.043    0.043 adapters.py:1(<module>)
        2    0.000    0.000    1.071    0.535 connection.py:485(getresponse)
       39    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        2    0.000    0.000    0.772    0.386 client.py:311(begin)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       10    0.000    0.000    0.005    0.000 enum.py:536(_convert_)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
        1    0.000    0.000    0.011    0.011 cd.py:1(<module>)
       24    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       32    0.000    0.000    0.002    0.000 element.py:1987(find)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       48    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        2    0.000    0.000    0.034    0.017 exceptions.py:1(<module>)
        3    0.000    0.000    0.013    0.004 response.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      186    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      389    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       57    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.016    0.016 url.py:1(<module>)
        1    0.000    0.000    0.043    0.043 sessions.py:1(<module>)
        1    0.000    0.000    0.016    0.016 connectionpool.py:1(<module>)
       16    0.000    0.000    0.031    0.002 css_parser.py:296(__init__)
       49    0.000    0.000    0.000    0.000 typing.py:947(__init__)
      291    0.000    0.000    0.000    0.000 enum.py:801(value)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        5    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        6    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
        1    0.000    0.000    0.048    0.048 dammit.py:1(<module>)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       10    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
